ID;Categoria;Item;Quantidade;Maturidade;Candidato/modelo;Arquivo Data sheet
DS-054;Controles;Hinges, horns e pushrods;1 kit;TBD;Ferragens aeronáuticas;Data sheets/DS-054_hinges_horns_e_pushrods.md
DS-055;Estrutura;Longarinas/tubos de fibra de carbono;1 lote;TBD crítico;Tubos/pultrudados com certificado;Data sheets/DS-055_longarinas_tubos_de_fibra_de_carbono.md
DS-056;Estrutura;Tecido de carbono e epóxi;1 lote;TBD;Sistema laminado aeronáutico;Data sheets/DS-056_tecido_de_carbono_e_epoxi.md
DS-057;Estrutura;Núcleo de espuma/honeycomb;1 lote;TBD;PVC estrutural ou honeycomb;Data sheets/DS-057_nucleo_de_espuma_honeycomb.md
DS-058;Estrutura;Compensado aeronáutico/firewall;1 lote;TBD crítico;Compensado birch aeronáutico;Data sheets/DS-058_compensado_aeronautico_firewall.md
DS-059;Estrutura;Perfis/chapas de alumínio 7075-T6;1 lote;TBD crítico;Material com certificado;Data sheets/DS-059_perfis_chapas_de_aluminio_7075_t6.md
DS-060;Estrutura;Fixadores e porcas travantes;1 lote;TBD;Classe aeronáutica, tamanhos por desenho;Data sheets/DS-060_fixadores_e_porcas_travantes.md
DS-061;Estrutura;Coxins antivibração;1 kit;TBD;Isoladores motor/aviónica;Data sheets/DS-061_coxins_antivibracao.md
DS-062;Estrutura;Trem de pouso/skids;1 conjunto;TBD crítico;Compósito/alumínio absorvente;Data sheets/DS-062_trem_de_pouso_skids.md
DS-063;Estrutura;Proteção térmica e corta-fogo;1 kit;TBD crítico;Manta/barreira compatível com gasolina;Data sheets/DS-063_protecao_termica_e_corta_fogo.md
DS-064;Segurança;Sistema de paraquedas;1;TBD crítico;Fruity Chutes ou equivalente dimensionado pelo MTOW;Data sheets/DS-064_sistema_de_paraquedas.md
DS-065;Segurança;Controlador de terminação/recuperação;1;TBD crítico;Controlador independente;Data sheets/DS-065_controlador_de_terminacao_recuperacao.md
DS-066;Segurança;Luzes de navegação e anticolisão;1 kit;TBD;LEDs aeronáuticos de alta intensidade;Data sheets/DS-066_luzes_de_navegacao_e_anticolisao.md
DS-067;Solo;Carregador/balanceador 12S;1;TBD crítico;Carregador CC/CV com logging;Data sheets/DS-067_carregador_balanceador_12s.md
DS-068;Solo;Gabinete de armazenamento de baterias;1;TBD crítico;Armário resistente ao fogo ventilado;Data sheets/DS-068_gabinete_de_armazenamento_de_baterias.md
DS-069;Solo;Bancada de empuxo e célula de carga;1;TBD crítico;Bancada ≥15 kgf por motor;Data sheets/DS-069_bancada_de_empuxo_e_celula_de_carga.md
DS-070;Solo;Tacômetro e instrumentos elétricos;1 kit;TBD;Tacômetro óptico + analisador DC;Data sheets/DS-070_tac_metro_e_instrumentos_eletricos.md
DS-071;Solo;Estação de controle em solo;1;TBD;Notebook robusto com Mission Planner/QGroundControl;Data sheets/DS-071_estacao_de_controle_em_solo.md
